player,,targets,,receptions
J.Starks,,167,0.748502994,125
C.Harbor,,166,0.686746988,114
D.Johnson,,166,0.656626506,109
D.Brown,,163,0.736196319,120
D.Hagan,,162,0.580246914,94
L.Donnell,,162,0.679012346,110
D.Inman,,162,0.604938272,98
D.Rosario,,161,0.571428571,92
A.Ellington,,161,0.683229814,110
J.Cumberland,,160,0.53125,85
J.Hunter,,160,0.475,76
D.Alexander,,159,0.522012579,83
R.Rodgers,,159,0.660377358,105
B.Stokley,,158,0.689873418,109
J.Cribbs,,157,0.598726115,94
L.Naanee,,156,0.58974359,92
T.Richardson,,156,0.724358974,113
L.Green,,155,0.612903226,95
D.Jones,,154,0.532467532,82
B.Johnson,,150,0.4,60
K.Thompkins,,150,0.466666667,70
K.Ogletree,,149,0.55704698,83
M.Williams,,148,0.560810811,83
T.Moeaki,,147,0.619047619,91
R.McMichael,,146,0.636986301,93
R.Griffin,,146,0.664383562,97
D.Johnson,,146,0.767123288,112
B.Leonard,,145,0.779310345,113
P.Crayton,,143,0.615384615,88
P.Parker,,143,0.594405594,85
T.Young,,143,0.58041958,83
M.Brown,,143,0.608391608,87
C.Ogbonnaya,,141,0.680851064,96
A.Quarless,,141,0.631205674,89
M.Bryant,,140,0.542857143,76
R.Brown,,139,0.784172662,109
Philly,,138,0.550724638,76
Q.Enunwa,,138,0.536231884,74
J.White,,137,0.715328467,98
C.Stuckey,,136,0.544117647,74
C.Schilens,,136,0.625,85
C.Chambers,,135,0.496296296,67
L.Paulsen,,135,0.607407407,82
G.Camarillo,,134,0.619402985,83
T.Pryor,,134,0.514925373,69
E.Lacy,,134,0.753731343,101
A.Wilson,,134,0.597014925,80
